Field,Start,End,Length,Type,Comments
,,,,,"Right justified with leading zeros, or NA left  "
,,,,,justified if outside of Assessment Area(s)  
,,,,,(including predominately military areas). 
10. Partial County Indicator ,42,42,1,AN ,Values are 
,,,,,Y = Yes 
,,,,,N = No 
11. Split County Indicator ,43,43,1,AN ,Values are 
,,,,,Y = Yes 
,,,,,N = No 
12. Population Classification ,44,44,1,AN ,Values are 
,,,,,S= counties with 
,,,,,"< 500,000 in population "
,,,,,L= counties with 
,,,,,">500,000 in population "
13. Income Group ,45,47,3,AN ,Values are 
,,,,,1= < 10% of Median Family 
,,,,,Income(MFI) 
,,,,,2= 10% to 20% of MFI 
,,,,,3= 20% to 30% of MFI 
,,,,,4= 30% to 40% of MFI 
,,,,,5= 40% to 50% of MFI 
,,,,,6= 50% to 60% of MFI 
,,,,,7= 60% to 70% of MFI 
,,,,,8= 70% to 80% of MFI 
,,,,,9= 80% to 90% of MFI 
,,,,, 10= 90% to 100% of MFI 
,,,,, 11= 100% to 110% of MFI 
,,,,, 12= 110% to 120% of MFI 
,,,,, 13= > 120% of MFI 
,,,,, 14= MFI not known (income 
,,,,,percentage = 0) 
,,,,, 15=Tract not Known (Reported as NA) 
,,,,,101= Low Income (< 50% of 
,,,,,MFI - excluding 0) 
,,,,,102= Moderate Income (50% 
,,,,,to 80% of MFI) 
,,,,,103= Middle Income (80% to 
,,,,,120% of MFI) 
,,,,,104= Upper Income (> 120% 
,,,,,of MFI) 
,,,,,105= Income Not Known (0) 
,,,,,106=Tract not Known (NA) 
,,,,,Right justified with leading zeros  
14. Loan Indicator ,48,48,1,AN ,Values are 
,,,,,Y = Yes 
,,,,,N = No 
15. Filler ,49,145,96,AN ,Blank 
