"Field","Start","End","Length","Type","Comments"
"Reported as Affiliate Loans  ",,,,,"$25,000}; Right justified with leading zeros  "
,,,,,"or blank if not applicable "
"10. Filler ",49,113,65,"AN ","Blank "
"Field ","Start ","End ","Length ","Type ","Comments, Values, Keys, Etc. "
"1. Table ID ",1,4,4,"AN ","Value is D6-0 "
"2. Respondent ID ",5,14,10,"AN ","Assigned by regulatory agency "
,,,,,"(same as HMDA ID if applicable);  "
,,,,,"Right justified with leading zeros "
"3. Agency Code ",15,15,1,"N ","Values are 1=OCC, 2=FRS, "
,,,,,"3=FDIC, or 4=OTS "
"4. Activity Year ",16,19,4,"N ","Four digit year (e.g. 1996) "
"5. State ",20,21,2,"AN ","FIPS code with leading zeros "
"6. County ",22,24,3,"AN ","FIPS code with leading zeros "
"7. MSA/MD ",25,28,4,"AN ","As defined by OMB; Right justified "
,,,,,"with leading zeros or NA left justified "
,,,,,"for areas outside of an MSA/MD "
"8. Census Tract ",29,35,7,"AN ","As defined by the Bureau of Census; "
,,,,,"Right justified with leading/trailing zeros "
,,,,,"and decimal point or blank for totals "
,,,,,"across all census tracts "
"9. Assessment Area Number ",36,39,4,"AN ","Values are 1 through 9999; "
,,,,,"Right justified with leading zeros, or NA left  "
,,,,,"justified if outside of Assessment Area(s)  "
,,,,,"(including predominately military areas). "
"10. Partial County Indicator ",40,40,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
"11. Split County Indicator ",41,41,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
"12. Population Classification ",42,42,1,"AN ","Values are "
,,,,,"S= counties with "
,,,,,"< 500,000 in population "
,,,,,"L= counties with "
,,,,,">500,000 in population "
"13. Income Group ",43,45,3,"AN ","Values are "
,,,,,"1= < 10% of Median Family "
,,,,,"Income(MFI) "
,,,,,"2= 10% to 20% of MFI "
,,,,,"3= 20% to 30% of MFI "
,,,,,"4= 30% to 40% of MFI "
,,,,,"5= 40% to 50% of MFI "
,,,,,"6= 50% to 60% of MFI "
,,,,,"7= 60% to 70% of MFI "
,,,,,"8= 70% to 80% of MFI "
,,,,,"9= 80% to 90% of MFI "
,,,,," 10= 90% to 100% of MFI "
,,,,," 11= 100% to 110% of MFI "
,,,,," 12= 110% to 120% of MFI "
,,,,," 13= > 120% of MFI "
,,,,," 14= MFI not known (income "
,,,,,"percentage = 0) "
,,,,," 15=Tract not Known (Reported as NA) "
,,,,,"101= Low Income (< 50% of "
,,,,,"MFI - excluding 0) "
,,,,,"102= Moderate Income (50% "
,,,,,"to 80% of MFI) "
,,,,,"103= Middle Income (80% to "
,,,,,"120% of MFI) "
,,,,,"104= Upper Income (> 120% "
,,,,,"of MFI) "
,,,,,"105= Income Not Known (0) "
,,,,,"106=Tract not Known (NA) "
,,,,,"Right justified with leading zeros  "
"14. Loan Indicator ",46,46,1,"AN ","Values are "
,,,,,"Y = Yes "
,,,,,"N = No "
"15. Filler ",47,106,59,"AN ","Blank "
